model_name,mode,camera,fusion_method,threshold_percentile,input_dim,train_count,test_count,test_correct_count,test_anomaly_count,threshold,dropout,weight_decay,best_epoch,best_val_loss,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,flagged_as_anomaly,total_test
baseline_small_dropout02,single_camera,C10095,,70,4064,626,839,626,213,0.18690764904022217,0.2,0.0001,122,0.16687527488751017,0.8951132300357568,0.7659574468085106,0.8450704225352113,0.8035714285714286,0.9493692720754774,571,55,33,180,0.0878594249201278,0.15492957746478872,235,839
baseline_small_dropout02,single_camera,C10095,,75,4064,626,839,626,213,0.19292107224464417,0.2,0.0001,122,0.16687527488751017,0.9046483909415971,0.8009049773755657,0.8309859154929577,0.815668202764977,0.9493692720754774,582,44,36,177,0.07028753993610223,0.16901408450704225,221,839
baseline_small_dropout02,single_camera,C10095,,80,4064,626,839,626,213,0.2082272320985794,0.2,0.0001,122,0.16687527488751017,0.9034564958283671,0.8367346938775511,0.7699530516431925,0.8019559902200489,0.9493692720754774,594,32,49,164,0.051118210862619806,0.2300469483568075,196,839
baseline_small_dropout02,single_camera,C10095,,85,4064,626,839,626,213,0.23965364694595337,0.2,0.0001,122,0.16687527488751017,0.8772348033373063,0.8481012658227848,0.6291079812206573,0.7223719676549866,0.9493692720754774,602,24,79,134,0.038338658146964855,0.37089201877934275,158,839
baseline_small_dropout02,single_camera,C10095,,90,4064,626,839,626,213,0.259728342294693,0.2,0.0001,122,0.16687527488751017,0.8688915375446961,0.8814814814814815,0.5586854460093896,0.6839080459770115,0.9493692720754774,610,16,94,119,0.025559105431309903,0.4413145539906103,135,839
baseline_small_dropout02,single_camera,C10118,,70,4064,626,839,626,213,0.21558862924575806,0.2,0.0001,122,0.19512829440794174,0.8736591179976162,0.7584541062801933,0.7370892018779343,0.7476190476190476,0.9231051913183039,576,50,56,157,0.07987220447284345,0.26291079812206575,207,839
baseline_small_dropout02,single_camera,C10118,,75,4064,626,839,626,213,0.23876796662807465,0.2,0.0001,122,0.19512829440794174,0.8545887961859356,0.7630057803468208,0.6197183098591549,0.6839378238341969,0.9231051913183039,585,41,81,132,0.06549520766773163,0.38028169014084506,173,839
baseline_small_dropout02,single_camera,C10118,,80,4064,626,839,626,213,0.26128068566322327,0.2,0.0001,122,0.19512829440794174,0.8486293206197855,0.7792207792207793,0.5633802816901409,0.6539509536784741,0.9231051913183039,592,34,93,120,0.054313099041533544,0.43661971830985913,154,839
baseline_small_dropout02,single_camera,C10118,,85,4064,626,839,626,213,0.2818422019481659,0.2,0.0001,122,0.19512829440794174,0.8438617401668653,0.8106060606060606,0.5023474178403756,0.6202898550724638,0.9231051913183039,601,25,106,107,0.039936102236421724,0.49765258215962443,132,839
baseline_small_dropout02,single_camera,C10118,,90,4064,626,839,626,213,0.3360092341899872,0.2,0.0001,122,0.19512829440794174,0.8057210965435042,0.8048780487804879,0.30985915492957744,0.44745762711864406,0.9231051913183039,610,16,147,66,0.025559105431309903,0.6901408450704225,82,839
