start_window,end_window,start_time_sec,end_time_sec,approx_start_frame,approx_end_frame,max_score,true_anomaly_windows,false_alarm_windows,correct_detected_windows
29,30,58.0,62.0,3480,3720,1.772642,0,2,0
36,37,72.0,76.0,4320,4560,1.69824,2,0,2
39,40,78.0,82.0,4680,4920,1.164859,2,0,2
44,57,88.0,116.0,5280,6960,2.213492,14,0,14
59,66,118.0,134.0,7080,8040,1.816907,8,0,8
85,89,170.0,180.0,10200,10800,1.880499,3,2,3
105,105,210.0,212.0,12600,12720,1.070139,0,1,0
111,111,222.0,224.0,13320,13440,1.439727,0,1,0
119,119,238.0,240.0,14280,14400,2.254219,0,1,0
123,123,246.0,248.0,14760,14880,3.046742,0,1,0
134,134,268.0,270.0,16080,16200,1.395133,0,1,0
142,142,284.0,286.0,17040,17160,2.517482,0,1,0
147,147,294.0,296.0,17640,17760,1.537731,0,1,0
151,152,302.0,306.0,18120,18360,1.135278,2,0,2
167,167,334.0,336.0,20040,20160,1.806993,0,1,0
170,172,340.0,346.0,20400,20760,1.245995,3,0,3
194,194,388.0,390.0,23280,23400,1.126075,0,1,0
238,238,476.0,478.0,28560,28680,1.09787,1,0,1
247,247,494.0,496.0,29640,29760,1.902232,1,0,1
251,255,502.0,512.0,30120,30720,2.70591,0,5,0
283,287,566.0,576.0,33960,34560,1.612219,5,0,5
303,337,606.0,676.0,36360,40560,2.515708,35,0,35
340,375,680.0,752.0,40800,45120,4.870835,34,2,34
379,380,758.0,762.0,45480,45720,1.770567,1,1,1
391,392,782.0,786.0,46920,47160,1.142905,2,0,2
394,397,788.0,796.0,47280,47760,1.559067,4,0,4
399,400,798.0,802.0,47880,48120,1.532437,0,2,0
414,414,828.0,830.0,49680,49800,1.095687,1,0,1
420,420,840.0,842.0,50400,50520,1.024977,0,1,0
434,434,868.0,870.0,52080,52200,1.295279,0,1,0
445,449,890.0,900.0,53400,54000,3.53945,5,0,5
475,475,950.0,952.0,57000,57120,1.33747,0,1,0
487,487,974.0,976.0,58440,58560,2.386192,0,1,0
499,499,998.0,1000.0,59880,60000,1.644151,0,1,0
515,515,1030.0,1032.0,61800,61920,1.176529,0,1,0
517,518,1034.0,1038.0,62040,62280,1.721468,0,2,0
531,531,1062.0,1064.0,63720,63840,1.244411,0,1,0
538,538,1076.0,1078.0,64560,64680,1.057189,0,1,0
542,542,1084.0,1086.0,65040,65160,1.242765,0,1,0
553,576,1106.0,1154.0,66360,69240,4.389552,24,0,24
578,580,1156.0,1162.0,69360,69720,1.246518,3,0,3
589,591,1178.0,1184.0,70680,71040,2.286431,3,0,3
624,624,1248.0,1250.0,74880,75000,1.847519,0,1,0
631,631,1262.0,1264.0,75720,75840,2.558762,0,1,0
649,649,1298.0,1300.0,77880,78000,1.217795,0,1,0
651,651,1302.0,1304.0,78120,78240,3.131006,0,1,0
654,654,1308.0,1310.0,78480,78600,3.566177,0,1,0
656,656,1312.0,1314.0,78720,78840,1.70469,0,1,0
663,663,1326.0,1328.0,79560,79680,1.206185,0,1,0
665,665,1330.0,1332.0,79800,79920,1.596017,0,1,0
667,674,1334.0,1350.0,80040,81000,2.727201,7,1,7
678,678,1356.0,1358.0,81360,81480,2.589959,0,1,0
688,688,1376.0,1378.0,82560,82680,1.061061,0,1,0
701,703,1402.0,1408.0,84120,84480,2.710375,3,0,3
713,713,1426.0,1428.0,85560,85680,2.198947,0,1,0
715,715,1430.0,1432.0,85800,85920,1.089076,0,1,0
723,723,1446.0,1448.0,86760,86880,1.004781,0,1,0
728,734,1456.0,1470.0,87360,88200,2.178684,6,1,6
765,766,1530.0,1534.0,91800,92040,1.508085,0,2,0
769,770,1538.0,1542.0,92280,92520,1.442775,0,2,0
774,774,1548.0,1550.0,92880,93000,1.141358,0,1,0
781,790,1562.0,1582.0,93720,94920,2.113299,9,1,9
797,815,1594.0,1632.0,95640,97920,2.868385,19,0,19
819,819,1638.0,1640.0,98280,98400,1.0,0,1,0
822,822,1644.0,1646.0,98640,98760,1.983333,0,1,0
834,835,1668.0,1672.0,100080,100320,1.934747,0,2,0
