window_index,approx_time_sec,approx_frame,C10095_score,C10118_score,C10119_score,C10390_score,C10404_score,fusion_score,prediction,true_label
0,0.0,0,0.23037665,0.2718668,0.284287,0.26828405,0.25011718,0.284287,0,0
1,2.0,120,0.2369385,0.28853673,0.31137645,0.34317276,0.23110361,0.34317276,0,0
2,4.0,240,0.32806376,0.47358015,0.32919526,0.29538754,0.20597512,0.47358015,0,0
3,6.0,360,0.21838091,0.24016029,0.258481,0.18519561,0.16280907,0.258481,0,0
4,8.0,480,0.26359934,0.30087894,0.23607995,0.19717368,0.15478379,0.30087894,0,0
5,10.0,600,0.3221562,0.3401347,0.29071012,0.3662549,0.23567924,0.3662549,0,0
6,12.0,720,0.4442731,0.6031425,0.39465767,0.26517004,0.22872974,0.6031425,0,0
7,14.0,840,0.32641518,0.32242128,0.28882974,0.19116083,0.13385984,0.32641518,0,0
8,16.0,960,0.38607407,0.3610399,0.46916685,0.23809208,0.13502027,0.46916685,0,0
9,18.0,1080,0.28503034,0.34133744,0.3717461,0.33115706,0.24961562,0.3717461,0,0
10,20.0,1200,0.70393497,0.87323684,0.82274544,0.5591729,0.4671723,0.87323684,0,0
11,22.0,1320,0.9399425,0.84390855,0.55708814,0.58699703,0.35567498,0.9399425,0,0
12,24.0,1440,0.2661767,0.2670181,0.27458858,0.2530428,0.1799588,0.27458858,0,0
13,26.0,1560,0.37336868,0.31186926,0.3321443,0.28417778,0.2100277,0.37336868,0,0
14,28.0,1680,0.4320315,0.3866297,0.48143834,0.35329944,0.21247111,0.48143834,0,0
15,30.0,1800,0.31566104,0.309559,0.43636844,0.3496592,0.21299133,0.43636844,0,0
16,32.0,1920,0.2791825,0.24213049,0.21369247,0.15268236,0.12738942,0.2791825,0,0
17,34.0,2040,0.26399657,0.22958665,0.23462434,0.13165562,0.1207689,0.26399657,0,0
18,36.0,2160,0.26994407,0.24147595,0.22084825,0.1319144,0.11927619,0.26994407,0,0
19,38.0,2280,0.23261568,0.26372057,0.22144888,0.1319183,0.13614227,0.26372057,0,0
20,40.0,2400,0.2612267,0.3910655,0.30563313,0.15802228,0.123561755,0.3910655,0,0
21,42.0,2520,0.15664303,0.2205572,0.16034667,0.13571827,0.1331603,0.2205572,0,0
22,44.0,2640,0.32994163,0.32818246,0.32188797,0.28133872,0.305792,0.32994163,0,0
23,46.0,2760,0.37897536,0.6088371,0.34701955,0.14567663,0.21430685,0.6088371,0,0
24,48.0,2880,0.4738019,0.72758234,0.3983974,0.22780418,0.2026743,0.72758234,0,0
