window_index,approx_frame,true_label,reconstruction_error,prediction
0,0,1,0.24562055,1
1,120,1,0.23498611,1
2,240,1,0.24210249,1
3,360,1,0.30254158,1
4,480,1,0.27452394,1
5,600,0,0.056230657,0
6,720,0,0.044228103,0
7,840,0,0.05193666,0
8,960,0,0.021731319,0
9,1080,0,0.053976666,0
10,1200,0,0.034028757,0
11,1320,0,0.030474523,0
12,1440,0,0.054912295,0
13,1560,0,0.030489512,0
14,1680,0,0.030181084,0
15,1800,0,0.053056866,0
16,1920,0,0.043920223,0
17,2040,0,0.0306765,0
18,2160,0,0.052000906,0
19,2280,0,0.050974388,0
20,2400,1,0.35248938,1
21,2520,1,0.25364166,1
22,2640,1,0.18403046,0
23,2760,1,0.36649093,1
24,2880,1,0.27213636,1
25,3000,1,0.31783214,1
26,3120,1,0.28528368,1
27,3240,1,0.2912469,1
28,3360,1,0.29665047,1
29,3480,1,0.3148733,1
30,3600,1,0.25851044,1
31,3720,1,0.19108322,1
32,3840,1,0.176637,0
33,3960,1,0.26623234,1
34,4080,1,0.25907975,1
35,4200,1,0.2263528,1
36,4320,1,0.34079358,1
37,4440,1,0.1769013,0
38,4560,1,0.31036738,1
39,4680,1,0.23891917,1
40,4800,1,0.20806627,1
41,4920,1,0.30354854,1
42,5040,1,0.24863602,1
43,5160,1,0.2962933,1
44,5280,1,0.32004935,1
45,5400,1,0.25323355,1
46,5520,1,0.3494569,1
47,5640,1,0.34170482,1
48,5760,1,0.41230026,1
49,5880,1,0.46882617,1
50,6000,1,0.42295024,1
51,6120,1,0.2957589,1
52,6240,1,0.37548733,1
53,6360,1,0.4354425,1
54,6480,1,0.47208613,1
55,6600,1,0.17926672,0
56,6720,0,0.0370169,0
57,6840,1,0.23549126,1
58,6960,1,0.261027,1
59,7080,1,0.23590963,1
60,7200,1,0.25851938,1
61,7320,1,0.30523148,1
62,7440,1,0.24295324,1
63,7560,1,0.3993784,1
64,7680,1,0.36452317,1
65,7800,1,0.32875836,1
66,7920,1,0.27002147,1
67,8040,1,0.3740697,1
68,8160,1,0.36488158,1
69,8280,1,0.39113057,1
70,8400,1,0.40561634,1
71,8520,1,0.5550588,1
72,8640,1,0.44404027,1
73,8760,1,0.3846167,1
74,8880,1,0.21429569,1
75,9000,1,0.22918983,1
76,9120,1,0.26797923,1
77,9240,1,0.33450437,1
78,9360,1,0.302234,1
79,9480,1,0.41365862,1
80,9600,1,0.41027886,1
81,9720,1,0.29007733,1
82,9840,1,0.34365603,1
83,9960,1,0.34971473,1
84,10080,1,0.32637614,1
85,10200,1,0.46462324,1
86,10320,1,0.73832935,1
87,10440,1,0.665012,1
88,10560,1,0.42426264,1
